Id_day;Period;BE;DE;FR;NL;RAM_0
2;7;0;0;-1;0;3443
2;7;-0.16532;0.00203;-0.08651;-0.25386;831.39725
2;7;-1;0;0;0;4500
2;7;-0.01505;0.02989;-0.02222;0.0305;89.98475
2;7;0.10274;0.03581;0.05612;0.10707;144.2185
2;7;0;0;0;-1;4250
2;7;-0.15314;0.00204;-0.0839;-0.23895;777.02475
2;7;0.00122;0.04353;-0.01014;0.05118;105.80875
2;7;0.21184;0.00551;0.12111;-0.14866;1147.85425
2;7;0.07614;-0.00202;-0.02153;0.02494;304.326
2;7;0.07651;0.03656;0.03612;0.09568;111.522
2;7;0.13595;0.06519;0.13742;0.0883;262.42225
2;7;-0.10315;0.00329;-0.05778;0.28062;795.06675
2;7;0.16231;0.00459;0.10823;-0.1401;1024.61725
2;7;0;0;1;0;4557
2;7;0.07815;0.03733;0.03749;0.09695;112.5095
2;7;-0.00681;0.0337;-0.01719;0.03936;96.8585
2;7;-0.01634;0.02936;-0.02287;0.02916;89.005
